,DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTALVALIDVOTESPOLLED,POSITION,incumb_match_key
1572,saharanpur,behat,GEN,mahaveersinghrana,M,GEN,50,BSP,70274,1,behatmahaveersinghranaBSP1
1585,saharanpur,nakur,GEN,dr.dharamsinghsaini,M,GEN,45,BSP,89187,1,nakurdr.dharamsinghsainiBSP1
1601,saharanpur,saharanpurnagar,GEN,raghavlakhanpal,M,GEN,35,BJP,85170,1,saharanpurnagarraghavlakhanpalBJP1
1619,saharanpur,saharanpur,GEN,jagpal,M,SC,53,BSP,80670,1,saharanpurjagpalBSP1
1634,saharanpur,deoband,GEN,rajendrasinghrana,M,GEN,52,SP,66682,1,deobandrajendrasinghranaSP1
1653,saharanpur,rampurmaniharan,SC,ravinderkumarmolhu,M,SC,47,BSP,77274,1,rampurmaniharanravinderkumarmolhuBSP1
1663,saharanpur,gangoh,GEN,pardeepkumar,M,GEN,41,INC,65149,1,gangohpardeepkumarINC1
1677,muzaffarnagar,kairana,GEN,hukumsingh,M,GEN,73,BJP,80293,1,kairanahukumsinghBJP1
1701,prabuddhanagar,thanabhawan,GEN,sureshkumar,M,GEN,40,BJP,53719,1,thanabhawansureshkumarBJP1
1733,prabuddhanagar,shamli,GEN,pankajkumarmalik,M,GEN,33,INC,53947,1,shamlipankajkumarmalikINC1
1785,muzaffarnagar,budhana,GEN,nawazishalamkhan,M,GEN,34,SP,68210,1,budhananawazishalamkhanSP1
1800,muzaffarnagar,charthawal,GEN,noorsaleemrana,M,GEN,41,BSP,53481,1,charthawalnoorsaleemranaBSP1
1816,muzaffarnagar,purqazi,SC,anilkumar,M,SC,37,BSP,53491,1,purqazianilkumarBSP1
1829,muzaffarnagar,muzaffarnagar,GEN,chitranjanswaroop,M,GEN,66,SP,59169,1,muzaffarnagarchitranjanswaroopSP1
1847,muzaffarnagar,khatauli,GEN,kartarsinghbhadana,M,GEN,55,RLD,46722,1,khataulikartarsinghbhadanaRLD1
1869,muzaffarnagar,meerapur,GEN,jamilahmadqasmi,M,GEN,51,BSP,56802,1,meerapurjamilahmadqasmiBSP1
1885,bijnor,najibabad,GEN,tasleem,M,GEN,48,BSP,62713,1,najibabadtasleemBSP1
1904,bijnor,nagina,SC,manojkumarparas,M,SC,45,SP,83997,1,naginamanojkumarparasSP1
1916,bijnor,barhapur,GEN,mohd.ghazi,M,GEN,36,BSP,68436,1,barhapurmohd.ghaziBSP1
1940,bijnor,dhampur,GEN,th.moolchandchauhan,M,GEN,57,SP,53365,1,dhampurth.moolchandchauhanSP1
1958,bijnor,nehtaur,SC,omkumar,M,SC,45,BSP,51389,1,nehtauromkumarBSP1
1969,bijnor,bijnor,GEN,kunvarbharatendra,M,GEN,48,BJP,68969,1,bijnorkunvarbharatendraBJP1
1993,bijnor,chandpur,GEN,iqbal,M,GEN,52,BSP,54941,1,chandpuriqbalBSP1
2007,bijnor,noorpur,GEN,lokendrasingh,M,GEN,35,BJP,47566,1,noorpurlokendrasinghBJP1
2019,moradabad,kanth,GEN,aneesurrehman,M,GEN,48,PECP,37092,1,kanthaneesurrehmanPECP1
2040,moradabad,thakurdwara,GEN,kunwarserveshkumar,M,GEN,60,BJP,84530,1,thakurdwarakunwarserveshkumarBJP1
2055,moradabad,moradabadrural,GEN,shameemulhaq,M,GEN,56,SP,72213,1,moradabadruralshameemulhaqSP1
2075,moradabad,moradabadnagar,GEN,mohammadyusufansari,M,GEN,54,SP,88341,1,moradabadnagarmohammadyusufansariSP1
2091,moradabad,kundarki,GEN,mohammadrizwan,M,GEN,61,SP,81302,1,kundarkimohammadrizwanSP1
2106,bheemnagar,bilari,GEN,mhd.irfan,M,GEN,60,SP,55694,1,bilarimhd.irfanSP1
2134,moradabad,chandausi,SC,laxmigautam,F,SC,32,SP,55871,1,chandausilaxmigautamSP1
2162,bheemnagar,asmoli,GEN,pinkisingh,F,GEN,31,SP,73873,1,asmolipinkisinghSP1
2202,moradabad,sambhal,GEN,iqbalmehmood,M,GEN,61,SP,79820,1,sambhaliqbalmehmoodSP1
2232,rampur,suar,GEN,nawabkazimalikhanurfnavedmian,M,GEN,51,INC,55469,1,suarnawabkazimalikhanurfnavedmianINC1
2247,rampur,chamraua,GEN,aliyusufali,M,GEN,37,BSP,37083,1,chamrauaaliyusufaliBSP1
2266,rampur,bilaspur,GEN,sanjaykapoor,M,GEN,49,INC,52818,1,bilaspursanjaykapoorINC1
2281,rampur,rampur,GEN,mohammadazamkhan,M,GEN,57,SP,95772,1,rampurmohammadazamkhanSP1
2294,rampur,milak,SC,vijaysingh,M,SC,55,SP,56798,1,milakvijaysinghSP1
2310,jyotibaphulenagar,dhanaura,SC,maikalchandra,M,SC,67,SP,55545,1,dhanauramaikalchandraSP1
2325,jyotibaphulenagar,naugawansadat,GEN,ashfaqalikhan,M,GEN,50,SP,55626,1,naugawansadatashfaqalikhanSP1
2343,jyotibaphulenagar,amroha,GEN,mehboobali,M,GEN,59,SP,60807,1,amrohamehboobaliSP1
2358,jyotibaphulenagar,hasanpur,GEN,kamalakhtar,M,GEN,44,SP,92843,1,hasanpurkamalakhtarSP1
2373,meerut,siwalkhas,GEN,ghulammohammed,M,GEN,59,SP,58852,1,siwalkhasghulammohammedSP1
2388,meerut,sardhana,GEN,sangeetsinghsom,M,GEN,33,BJP,62438,1,sardhanasangeetsinghsomBJP1
2409,meerut,hastinapur,SC,prabhudayalbalmiki,M,SC,48,SP,46742,1,hastinapurprabhudayalbalmikiSP1
2422,meerut,kithore,GEN,shahidmanzoor,M,GEN,57,SP,73015,1,kithoreshahidmanzoorSP1
2436,meerut,meerutcantt.,GEN,satyaprakashagarwal(kailashdairywale),M,GEN,72,BJP,70820,1,meerutcantt.satyaprakashagarwal(kailashdairywale)BJP1
2460,meerut,meerut,GEN,dr.laxmikantbajpai,M,GEN,61,BJP,68154,1,meerutdr.laxmikantbajpaiBJP1
2475,meerut,meerutsouth,GEN,ravindrabhadana,M,GEN,48,BJP,71584,1,meerutsouthravindrabhadanaBJP1
2491,baghpat,chhaprauli,GEN,virpal,M,GEN,46,RLD,69394,1,chhapraulivirpalRLD1
2504,baghpat,baraut,GEN,lokeshdixit,M,GEN,46,BSP,57209,1,barautlokeshdixitBSP1
2520,baghpat,baghpat,GEN,hemlatachaudhary,F,GEN,44,BSP,56957,1,baghpathemlatachaudharyBSP1
2534,ghaziabad,loni,GEN,zakirali,M,GEN,34,BSP,89603,1,lonizakiraliBSP1
2546,ghaziabad,muradnagar,GEN,wahab,M,GEN,51,BSP,57103,1,muradnagarwahabBSP1
2559,ghaziabad,sahibabad,GEN,amarpal,M,GEN,44,BSP,124332,1,sahibabadamarpalBSP1
2575,ghaziabad,ghaziabad,GEN,sureshbansal,M,GEN,69,BSP,64485,1,ghaziabadsureshbansalBSP1
2591,ghaziabad,modinagar,GEN,sudeshsharma,M,GEN,47,RLD,58635,1,modinagarsudeshsharmaRLD1
2603,panchsheelnagar,dholana,GEN,dharmeshsinghtomar,M,GEN,45,SP,59150,1,dholanadharmeshsinghtomarSP1
2635,ghaziabad,hapur,SC,gajrajsingh,M,SC,59,INC,77242,1,hapurgajrajsinghINC1
2661,panchsheelnagar,garhmukteshwar,GEN,madanchauhan,M,GEN,55,SP,82816,1,garhmukteshwarmadanchauhanSP1
2691,gautambuddhanagar,noida,GEN,maheshkumarsharma,M,GEN,51,BJP,77319,1,noidamaheshkumarsharmaBJP1
2720,gautambuddhanagar,dadri,GEN,satveersinghgurjar,M,GEN,52,BSP,81137,1,dadrisatveersinghgurjarBSP1
2734,gautambuddhanagar,jewar,GEN,vedrambhati,M,GEN,61,BSP,67524,1,jewarvedrambhatiBSP1
2753,bulandsahar,sikandrabad,GEN,bimlasinghsolanki,F,GEN,52,BJP,45799,1,sikandrabadbimlasinghsolankiBJP1
2776,bulandsahar,bulandshahr,GEN,mohd.aleemkhan,M,GEN,56,BSP,76646,1,bulandshahrmohd.aleemkhanBSP1
