,DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTALVALIDVOTESPOLLED,POSITION,incumb_match_key,incumb_bool,AC_NAME_clean,Party Type,Party Name,Party Abbreviation,match_key_x,mapped_match_key,Sno,Candidate∇,Constituency,Party,CriminalCase,Education,TotalAssets,Liabilities,Constituency_cleaned,Party_clean,match_key_y
0,saharanpur,behat,GEN,nareshsaini,M,GEN,53.0,INC,97035,1,behatnareshsainiINC1,False,behat,N,indiannationalcongress,INC,indiannationalcongressbehatnareshsaini,indiannationalcongressbehatnareshsaini,2390.0,nareshsaini,behat,inc,0.0,PostGraduate,"Rs 1,07,80,291","Rs 3,98,000",behat,indiannationalcongress,indiannationalcongressbehatnareshsaini
1,saharanpur,behat,GEN,mahaveersinghrana,M,GEN,55.0,BJP,71449,0,behatmahaveersinghranaBJP0,False,behat,N,bharatiyajanataparty,BJP,bharatiyajanatapartybehatmahaveersinghrana,bharatiyajanatapartybehatmahaveersinghrana,1924.0,mahaveersinghrana,behat,bjp,0.0,GraduateProfessional,"Rs 5,56,63,295","Rs 29,85,082",behat,bharatiyajanataparty,bharatiyajanatapartybehatmahaveersinghrana
2,saharanpur,behat,GEN,mohd.iqbal,M,GEN,52.0,BSP,71019,0,behatmohd.iqbalBSP0,False,behat,N,bahujansamajparty,BSP,bahujansamajpartybehatmohd.iqbal,bahujansamajpartybehatmohd.iqbal,2232.0,mohd.iqbal,behat,bsp,0.0,Literate,"Rs 14,01,03,795","Rs 1,02,14,938",behat,bahujansamajparty,bahujansamajpartybehatmohd.iqbal
3,saharanpur,behat,GEN,ranaadityapratapsingh,M,GEN,49.0,IND,4187,0,behatranaadityapratapsinghIND0,False,behat,Z,independent,IND,independentbehatranaadityapratapsingh,independentbehatranaadityapratapsingh,3415.0,ranaadityapratapsingh,behat,ind,0.0,12thPass,"Rs 6,59,20,214","Rs 2,86,731",behat,independent,independentbehatranaadityapratapsingh
4,saharanpur,behat,GEN,kamranali,M,GEN,37.0,BhaSP,1255,0,behatkamranaliBhaSP0,False,behat,U,bhartisamudayaparty,BhaSP,bhartisamudayapartybehatkamranali,bhartisamudayapartybehatkamranali,1647.0,kamranali,behat,bhartisamudayaparty,0.0,10thPass,"Rs 6,82,859",Rs 0,behat,bhartisamudayaparty,bhartisamudayapartybehatkamranali
5,saharanpur,behat,GEN,arun,M,GEN,38.0,RLD,1150,0,behatarunRLD0,False,behat,S,rashtriyalokdal,RLD,rashtriyalokdalbehatarun,rashtriyalokdalbehatarun,381.0,arun,behat,rld,2.0,12thPass,"Rs 1,03,72,508","Rs 10,00,000",behat,rashtriyalokdal,rashtriyalokdalbehatarun
6,saharanpur,behat,GEN,hardhyan,M,SC,39.0,IND,1113,0,behathardhyanIND0,False,behat,Z,independent,IND,independentbehathardhyan,independentbehathardhyan,1287.0,hardhyan,behat,ind,0.0,5thPass,"Rs 22,77,500",Rs 0,behat,independent,independentbehathardhyan
7,saharanpur,behat,GEN,gopalsingh,M,GEN,32.0,IND,945,0,behatgopalsinghIND0,False,behat,Z,independent,IND,independentbehatgopalsingh,independentbehatgopalsingh,1224.0,gopalsingh,behat,ind,0.0,10thPass,"Rs 1,02,925",Rs 0,behat,independent,independentbehatgopalsingh
8,saharanpur,behat,GEN,lokeshverma,M,GEN,34.0,BHATARSP,617,0,behatlokeshvermaBHATARSP0,False,behat,U,bhartiyataraksamajparty,BHATARSP,bhartiyataraksamajpartybehatlokeshverma,bhartiyataraksamajpartybehatlokeshverma,1892.0,lokeshverma,behat,bhartiyataraksamajparty,0.0,PostGraduate,"Rs 2,88,275",Rs 0,behat,bhartiyataraksamajparty,bhartiyataraksamajpartybehatlokeshverma
9,saharanpur,behat,GEN,sakeemkhan,M,GEN,42.0,BMUP,425,0,behatsakeemkhanBMUP0,False,behat,U,bahujanmuktiparty,BMUP,bahujanmuktipartybehatsakeemkhan,bahujanmuktipartybehatsakeemkhan,3591.0,sakeemkhan,behat,bahujanmuktiparty,0.0,Literate,"Rs 1,57,68,000","Rs 10,00,000",behat,bahujanmuktiparty,bahujanmuktipartybehatsakeemkhan
